problem,answer,keywords,cnf_query_str,match_count,approx,ptrs_by_shard,notes
Who received the IEEE Frank Rosenblatt Award in 2010?,Michio Sugeno,"2010, Michio Sugeno",2010 AND Michio Sugeno,0,False,[],Latency: 0.5242824554443359
Who was awarded the Oceanography Society's Jerlov Award in 2018?,Annick Bricaud,"2018, Annick Bricaud, the Oceanography Society's Jerlov Award",2018 AND Annick Bricaud AND the Oceanography Society's Jerlov Award,0,False,[],Latency: 0.6704330444335938
"What's the name of the women's liberal arts college in Cambridge, Massachusetts?",Radcliffe College,"Cambridge, Massachusetts, Radcliffe College",Cambridge AND Massachusetts AND Radcliffe College,0,False,[[]],Latency: 1.1932849884033203
In whose honor was the Leipzig 1877 tournament organized?,Adolf Anderssen,"1877, Leipzig",1877 AND Leipzig,7,False,"[[419541814, 423612944, 328029212, 89946770, 716642296, 484152430, 587757038]]",Latency: 0.7319450378417969
"According to Karl Küchler, what did Empress Elizabeth of Austria's favorite sculpture depict, which was made for her villa Achilleion at Corfu?",Poet Henrich Heine.,"Austria, Corfu, Empress Elizabeth, Henrich Heine, Karl Küchler",Austria AND Corfu AND Empress Elizabeth AND Henrich Heine AND Karl Küchler,,,null,Latency: N/A
"How much money, in euros, was the surgeon held responsible for Stella Obasanjo's death ordered to pay her son?","120,000","120,000, Stella Obasanjo's","120,000 AND Stella Obasanjo's",0,False,[],Latency: 0.6520748138427734
"What were the month and year when Obama told Christianity Today, ""I am a Christian, and I am a devout Christian. I believe in the redemptive death and resurrection of Jesus Christ""?",January 2008,"Christian, Christianity Today, January 2008, Jesus Christ, Obama, the month and year",Christian AND Christianity Today AND January 2008 AND Jesus Christ AND Obama AND the month and year,,,null,Latency: N/A
"Who appointed the Chief Justice of India, Mirza Hameedullah Beg, in 1977?",Fakhruddin Ali Ahmed,"1977, Fakhruddin Ali Ahmed, India, Mirza Hameedullah Beg",1977 AND Fakhruddin Ali Ahmed AND India AND Mirza Hameedullah Beg,,,,InfiniGram API query error: 429 Client Error:  for url: https://api.infini-gram.io/
What is the name of the former Prime Minister of Iceland who worked as a cabin crew member until 1971?,Jóhanna Sigurðardóttir,"1971, Iceland, Jóhanna Sigurðardóttir",1971 AND Iceland AND Jóhanna Sigurðardóttir,0,False,[],Latency: 0.7443428039550781
To whom did Mehbooba Mufti Sayed contest the 2019 Lok Sabha elections and lose?,Hasnain Masoodi,"2019, Hasnain Masoodi, Lok Sabha, Mehbooba Mufti Sayed",2019 AND Hasnain Masoodi AND Lok Sabha AND Mehbooba Mufti Sayed,0,False,[],Latency: 0.7746219635009766
"How many fouls did Inter commit in the Champions League final match between Bayern and Inter on May 23, 2010?",13,"13, Bayern, Champions League, May 23, 2010","13 AND Bayern AND Champions League AND May 23, 2010",0,True,[[]],Latency: 4.089832305908203
What year did the Lego part with ID gal56 first release?,2002,"2002, Lego, first",2002 AND Lego AND first,0,True,[[]],Latency: 4.606723785400391
In which year did the Japanese scientist Koichi Mizushima receive the Kato Memorial Prize?,1999,"1999, Japanese, Koichi Mizushima, the Kato Memorial Prize",1999 AND Japanese AND Koichi Mizushima AND the Kato Memorial Prize,0,False,[],Latency: 0.8099079132080078
In which year did Melbourne's Monash Gallery of Art (MGA) rebrand and become the Museum of Australian Photography (MAPh)?,2023,"2023, Melbourne, Monash Gallery of Art (MGA, the Museum of Australian Photography",2023 AND Melbourne AND Monash Gallery of Art (MGA AND the Museum of Australian Photography,0,False,[],Latency: 0.7359981536865234
"Who requested the Federal Aviation Administration (FAA) implement a 900 sq mi (2,300 km2) temporary flight restriction zone over the operations areas of the Deepwater Horizon?",The Coast Guard,"2,300, FAA, The Coast Guard, the Federal Aviation Administration","2,300 AND FAA AND The Coast Guard AND the Federal Aviation Administration",0,False,[[]],Latency: 0.8711814880371094
What signature piece of the MOBA did Scott Wilson discover on the curb between two trash cans?,Lucy in the Field with Flowers,"Lucy, MOBA, Scott Wilson, two",Lucy AND MOBA AND Scott Wilson AND two,0,True,[[]],Latency: 4.213809967041016
"What player scored all the conversions for Spain in the rugby match between Spain and Romania that was part of the 2022 Rugby Europe Championship on February 27, 2022?",Manuel Ordas,"2022, February 27, 2022, Manuel Ordas, Romania, Rugby Europe Championship, Spain","2022 AND February 27, 2022 AND Manuel Ordas AND Romania AND Rugby Europe Championship AND Spain",,,null,Latency: N/A
"What is the surname of the psychiatrist who prescribes medication for Marie Hanson for her periodic blackouts in Season 1, Episode 20 of Ally McBeal?",Peters,"Marie Hanson, Peters, Season 1",Marie Hanson AND Peters AND Season 1,0,False,[],Latency: 0.8640289306640625
What is the British-American kickboxer Andrew Tate's kickboxing name?,King cobra,"Andrew Tate's, British",Andrew Tate's AND British,0,False,[],Latency: 0.5290508270263672
What position was John Gilbert Layton appointed to in Quebec from 1969 until 1970?, Quebec Youth Parliament prime minister,"1969, 1970, John Gilbert Layton, Quebec, Quebec Youth Parliament",1969 AND 1970 AND John Gilbert Layton AND Quebec AND Quebec Youth Parliament,,,null,Latency: N/A
Who won the Gerard P. Kuiper Prize in 2001?,Bruce W. Hapke,"2001, Bruce W. Hapke",2001 AND Bruce W. Hapke,0,False,[],Latency: 0.5905628204345703
"Which streamer won the ""Best VTuber Streamer"" award at The Streamer Awards in 2022?",CodeMiko,"2022, CodeMiko, The Streamer Awards, VTuber Streamer",2022 AND CodeMiko AND The Streamer Awards AND VTuber Streamer,0,False,[],Latency: 0.8294582366943359
"What did Daemon Targaryen say to Rhaenyra about living life in fear in Episode 4, Season 1 of House of the Dragon?","You cannot live your life in fear, or you will forsake the best parts of it.","Daemon Targaryen, Episode 4, Season 1, Rhaenyra","Daemon Targaryen AND Episode 4, Season 1 AND Rhaenyra",0,False,[],Latency: 0.7686614990234375
On which U.S. TV station did the Canadian reality series *To Serve and Protect* debut?,KVOS-TV,"Canadian, KVOS-TV, U.S.",Canadian AND KVOS-TV AND U.S.,0,False,[],Latency: 0.7414817810058594
"What instrument did Alec Aitken play well enough for a professional musician to remark, ""Aitken is the most accomplished amateur musician I have ever known""?",Violin,Alec Aitken,Alec Aitken,,,null,Latency: 0.026464462280273438
