problem,answer,llm_generated_answer,llm_correctness_score,rarest_problem_term,answer_keywords,final_query_keywords,cnf_query_str,match_count,approx,notes,heuristic_cache_status
Who received the IEEE Frank Rosenblatt Award in 2010?,Michio Sugeno,The IEEE Frank Rosenblatt Award in 2010 was received by Geoffrey Hinton.,0,Rosenblatt,Michio Sugeno,"Michio Sugeno,Rosenblatt",Michio Sugeno AND Rosenblatt,0,True,InfiniGram Latency: 2.6335716247558594,Generated (Not in cache)
Who was awarded the Oceanography Society's Jerlov Award in 2018?,Annick Bricaud,The Oceanography Society's Jerlov Award in 2018 was awarded to Curtis Mobley.,0,the Oceanography Society's Jerlov Award,Annick Bricaud,"Annick Bricaud,the Oceanography Society's Jerlov Award",Annick Bricaud AND the Oceanography Society's Jerlov Award,0,False,InfiniGram Latency: 2.1598339080810547,Generated (Not in cache)
"What's the name of the women's liberal arts college in Cambridge, Massachusetts?",Radcliffe College,"The name of the women's liberal arts college in Cambridge, Massachusetts is **Wellesley College**.",0,Cambridge,Radcliffe College,"Cambridge,Radcliffe College",Cambridge AND Radcliffe College,26604,True,InfiniGram Latency: 3.573894500732422,Generated (Not in cache)
In whose honor was the Leipzig 1877 tournament organized?,Adolf Anderssen,"The Leipzig 1877 chess tournament was organized in honor of the 25th anniversary of the local chess club, the Leipziger Schachgesellschaft.",0,Leipzig,"Adolf,Anderssen","Adolf,Anderssen,Leipzig",Adolf AND Anderssen AND Leipzig,0,True,InfiniGram Latency: 4.752874374389648,Generated (Not in cache)
"According to Karl Küchler, what did Empress Elizabeth of Austria's favorite sculpture depict, which was made for her villa Achilleion at Corfu?",Poet Henrich Heine.,"According to Karl Küchler, Empress Elizabeth of Austria's favorite sculpture depicted the Greek hero Achilles. This sculpture was made for her villa Achilleion at Corfu.",0,Karl Küchler,Henrich Heine,"Henrich Heine,Karl Küchler",Henrich Heine AND Karl Küchler,0,False,InfiniGram Latency: 2.317667007446289,Generated (Not in cache)
"How much money, in euros, was the surgeon held responsible for Stella Obasanjo's death ordered to pay her son?","120,000",The surgeon held responsible for Stella Obasanjo's death was ordered to pay her son 4 million euros.,0,Stella Obasanjo's,"120,000","120,000,Stella Obasanjo's","120,000 AND Stella Obasanjo's",0,True,InfiniGram Latency: 2.7799606323242188,Generated (Not in cache)
"What were the month and year when Obama told Christianity Today, ""I am a Christian, and I am a devout Christian. I believe in the redemptive death and resurrection of Jesus Christ""?",January 2008,"Barack Obama made the statement, ""I am a Christian, and I am a devout Christian. I believe in the redemptive death and resurrection of Jesus Christ,"" in **July 2006** during an interview with Christianity Today.",0,Christianity Today,January 2008,"Christianity Today,January 2008",Christianity Today AND January 2008,0,True,InfiniGram Latency: 3.782987594604492,Generated (Not in cache)
"Who appointed the Chief Justice of India, Mirza Hameedullah Beg, in 1977?",Fakhruddin Ali Ahmed,Mirza Hameedullah Beg was appointed as the Chief Justice of India in 1977 by then-President Neelam Sanjiva Reddy.,0,Mirza Hameedullah Beg,Fakhruddin Ali Ahmed,"Fakhruddin Ali Ahmed,Mirza Hameedullah Beg",Fakhruddin Ali Ahmed AND Mirza Hameedullah Beg,37,False,InfiniGram Latency: 2.628326416015625,Generated (Not in cache)
What is the name of the former Prime Minister of Iceland who worked as a cabin crew member until 1971?,Jóhanna Sigurðardóttir,The former Prime Minister of Iceland who worked as a cabin crew member until 1971 is Jóhanna Sigurðardóttir.,1,Iceland,Jóhanna Sigurðardóttir,"Iceland,Jóhanna Sigurðardóttir",Iceland AND Jóhanna Sigurðardóttir,2642,True,InfiniGram Latency: 2.7022361755371094,Generated (Not in cache)
To whom did Mehbooba Mufti Sayed contest the 2019 Lok Sabha elections and lose?,Hasnain Masoodi,Mehbooba Mufti Sayed contested the 2019 Lok Sabha elections from the Anantnag constituency and lost to Hasnain Masoodi of the Jammu & Kashmir National Conference.,1,Lok Sabha,Hasnain Masoodi,"Hasnain Masoodi,Lok Sabha",Hasnain Masoodi AND Lok Sabha,800,True,InfiniGram Latency: 2.6657581329345703,Generated (Not in cache)
"How many fouls did Inter commit in the Champions League final match between Bayern and Inter on May 23, 2010?",13,"In the UEFA Champions League final on May 22, 2010 (not May 23), between Bayern Munich and Inter Milan, Inter committed 18 fouls.",0,Bayern,13,"13,Bayern",13 AND Bayern,64953,True,InfiniGram Latency: 3.695249557495117,Generated (Not in cache)
What year did the Lego part with ID gal56 first release?,2002,"The LEGO part with ID ""gal56"" first released in the year 2004.",0,Lego,2002,"2002,Lego",2002 AND Lego,0,True,InfiniGram Latency: 3.8635730743408203,Generated (Not in cache)
In which year did the Japanese scientist Koichi Mizushima receive the Kato Memorial Prize?,1999,Koichi Mizushima received the Kato Memorial Prize in 2006.,0,the Kato Memorial Prize,1999,"1999,the Kato Memorial Prize",1999 AND the Kato Memorial Prize,0,False,InfiniGram Latency: 2.4237632751464844,Generated (Not in cache)
In which year did Melbourne's Monash Gallery of Art (MGA) rebrand and become the Museum of Australian Photography (MAPh)?,2023,Melbourne's Monash Gallery of Art (MGA) rebranded and became the Museum of Australian Photography (MAPh) in the year 2022.,0,the Museum of Australian Photography,2023,"2023,the Museum of Australian Photography",2023 AND the Museum of Australian Photography,0,True,InfiniGram Latency: 2.84576416015625,Generated (Not in cache)
"Who requested the Federal Aviation Administration (FAA) implement a 900 sq mi (2,300 km2) temporary flight restriction zone over the operations areas of the Deepwater Horizon?",The Coast Guard,"The United States Coast Guard requested the Federal Aviation Administration (FAA) to implement a 900 square mile (2,300 km²) temporary flight restriction zone over the operations areas of the Deepwater Horizon.",1,the Federal Aviation Administration,The Coast Guard,"The Coast Guard,the Federal Aviation Administration",The Coast Guard AND the Federal Aviation Administration,1,True,InfiniGram Latency: 3.844022750854492,Generated (Not in cache)
What signature piece of the MOBA did Scott Wilson discover on the curb between two trash cans?,Lucy in the Field with Flowers,"Scott Wilson discovered the signature piece of the MOBA ""Dota 2"" on the curb between two trash cans.",0,Scott Wilson,Lucy,"Lucy,Scott Wilson",Lucy AND Scott Wilson,0,True,InfiniGram Latency: 3.9370059967041016,Generated (Not in cache)
"What player scored all the conversions for Spain in the rugby match between Spain and Romania that was part of the 2022 Rugby Europe Championship on February 27, 2022?",Manuel Ordas,"The player who scored all the conversions for Spain in the rugby match against Romania on February 27, 2022, during the 2022 Rugby Europe Championship was **Pol Pla**.",0,Rugby Europe Championship,Manuel Ordas,"Manuel Ordas,Rugby Europe Championship",Manuel Ordas AND Rugby Europe Championship,1,False,InfiniGram Latency: 2.5568008422851562,Generated (Not in cache)
"What is the surname of the psychiatrist who prescribes medication for Marie Hanson for her periodic blackouts in Season 1, Episode 20 of Ally McBeal?",Peters,"The surname of the psychiatrist who prescribes medication for Marie Hanson in Season 1, Episode 20 of *Ally McBeal* is **Harrison**.",0,Marie Hanson,Peters,"Marie Hanson,Peters",Marie Hanson AND Peters,,,InfiniGram API query error: 500 Server Error: Internal Server Error for url: https://api.infini-gram.io/,Generated (Not in cache)
What is the British-American kickboxer Andrew Tate's kickboxing name?,King cobra,"Andrew Tate's kickboxing name is ""Cobra.""",0,Andrew Tate's,"cobra,King","Andrew Tate's,King,cobra",Andrew Tate's AND King AND cobra,0,True,InfiniGram Latency: 3.888368606567383,Generated (Not in cache)
What position was John Gilbert Layton appointed to in Quebec from 1969 until 1970?,Quebec Youth Parliament prime minister,John Gilbert Layton was appointed as the Chief Electoral Officer of Quebec from 1969 until 1970.,0,John Gilbert Layton,Quebec Youth Parliament,"John Gilbert Layton,Quebec Youth Parliament",John Gilbert Layton AND Quebec Youth Parliament,0,False,InfiniGram Latency: 2.3996829986572266,Generated (Not in cache)
Who won the Gerard P. Kuiper Prize in 2001?,Bruce W. Hapke,The Gerard P. Kuiper Prize in 2001 was awarded to David Morrison.,0,Kuiper,Bruce W. Hapke,"Bruce W. Hapke,Kuiper",Bruce W. Hapke AND Kuiper,0,True,InfiniGram Latency: 3.056049346923828,Generated (Not in cache)
"Which streamer won the ""Best VTuber Streamer"" award at The Streamer Awards in 2022?",CodeMiko,"The streamer who won the ""Best VTuber Streamer"" award at The Streamer Awards in 2022 was Ironmouse.",0,VTuber Streamer,CodeMiko,"CodeMiko,VTuber Streamer",CodeMiko AND VTuber Streamer,2,False,InfiniGram Latency: 2.6302337646484375,Generated (Not in cache)
"What did Daemon Targaryen say to Rhaenyra about living life in fear in Episode 4, Season 1 of House of the Dragon?","You cannot live your life in fear, or you will forsake the best parts of it.","In Episode 4 of Season 1 of *House of the Dragon*, Daemon Targaryen tells Rhaenyra that living life in fear is not truly living. He encourages her to embrace her desires and take control of her destiny rather than being paralyzed by the dangers and threats around her. This advice reflects Daemon's bold and rebellious nature, urging Rhaenyra to be fearless in the face of the political and personal challenges she faces.",1,Daemon Targaryen,"life,fear,parts","Daemon Targaryen,fear,life,parts",Daemon Targaryen AND fear AND life AND parts,0,True,InfiniGram Latency: 5.606412887573242,Generated (Not in cache)
On which U.S. TV station did the Canadian reality series *To Serve and Protect* debut?,KVOS-TV,The Canadian reality series *To Serve and Protect* debuted on the U.S. TV station Court TV.,0,Canadian,KVOS-TV,"Canadian,KVOS-TV",Canadian AND KVOS-TV,,,InfiniGram API query error: 429 Client Error:  for url: https://api.infini-gram.io/,Generated (Not in cache)
"What instrument did Alec Aitken play well enough for a professional musician to remark, ""Aitken is the most accomplished amateur musician I have ever known""?",Violin,"Alec Aitken played the piano well enough for a professional musician to remark, ""Aitken is the most accomplished amateur musician I have ever known.""",0,Alec Aitken,Violin,"Alec Aitken,Violin",Alec Aitken AND Violin,0,True,InfiniGram Latency: 2.9745101928710938,Generated (Not in cache)
